layer_id,run_id,debias_method,model,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
5,5,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.86431884765625,0.8043478260869565,0.8671875,0.75
5,6,lr,LogisticRegression,0.9118303571428571,0.9544441067442602,0.9121245828698554,0.9151785714285714,0.9090909090909091,0.75,0.830810546875,0.7611940298507462,0.796875,0.7285714285714285
5,6,lr,XGBoost,1.0,0.9999999999999999,1.0,1.0,1.0,0.79296875,0.8795166015625,0.8100358422939068,0.8828125,0.7483443708609272
5,6,dm,LogisticRegression,0.5072544642857143,0.5185939243861607,0.5064281721632197,0.5055803571428571,0.5072788353863382,0.515625,0.508056640625,0.4959349593495935,0.4765625,0.5169491525423728
5,6,dm,XGBoost,1.0,1.0,1.0,1.0,1.0,0.5859375,0.63983154296875,0.5984848484848485,0.6171875,0.5808823529411765
5,6,pclarc,LogisticRegression,0.9118303571428571,0.9544353874362245,0.9121245828698554,0.9151785714285714,0.9090909090909091,0.75,0.830810546875,0.7611940298507462,0.796875,0.7285714285714285
5,6,pclarc,XGBoost,1.0,0.9999999999999999,1.0,1.0,1.0,0.79296875,0.8795166015625,0.8100358422939068,0.8828125,0.7483443708609272
5,7,lr,LogisticRegression,0.9224330357142857,0.9593456034757653,0.9220415030846887,0.9174107142857143,0.9267192784667418,0.7890625,0.8642578125,0.7954545454545454,0.8203125,0.7720588235294118
5,7,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.84881591796875,0.7938931297709924,0.8125,0.7761194029850746
5,7,dm,LogisticRegression,0.5094866071428571,0.5114727409518495,0.5081141578063794,0.5066964285714286,0.5095398428731762,0.546875,0.5543212890625,0.5606060606060606,0.578125,0.5441176470588235
5,7,dm,XGBoost,1.0,1.0,1.0,1.0,1.0,0.56640625,0.6112060546875,0.5394190871369294,0.5078125,0.5752212389380531
5,7,pclarc,LogisticRegression,0.9224330357142857,0.9593343929368621,0.9220415030846887,0.9174107142857143,0.9267192784667418,0.79296875,0.86419677734375,0.7984790874524715,0.8203125,0.7777777777777778
5,7,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.84881591796875,0.7938931297709924,0.8125,0.7761194029850746
5,8,lr,LogisticRegression,0.9040178571428571,0.9517498405612245,0.9038031319910514,0.9017857142857143,0.905829596412556,0.73046875,0.83465576171875,0.735632183908046,0.75,0.7218045112781954
5,8,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7734375,0.85321044921875,0.7751937984496124,0.78125,0.7692307692307693
5,8,dm,LogisticRegression,0.49888392857142855,0.5156829211176658,0.49550561797752807,0.4921875,0.498868778280543,0.5234375,0.4793701171875,0.5271317829457365,0.53125,0.5230769230769231
5,8,dm,XGBoost,1.0,1.0,1.0,1.0,1.0,0.59375,0.6251220703125,0.6,0.609375,0.5909090909090909
5,8,pclarc,LogisticRegression,0.9040178571428571,0.951754823022959,0.9038031319910514,0.9017857142857143,0.905829596412556,0.73046875,0.8348388671875,0.735632183908046,0.75,0.7218045112781954
5,8,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7734375,0.85321044921875,0.7751937984496124,0.78125,0.7692307692307693
5,9,lr,LogisticRegression,0.9017857142857143,0.9530004384566327,0.9022222222222223,0.90625,0.8982300884955752,0.75390625,0.8416748046875,0.7657992565055762,0.8046875,0.7304964539007093
5,9,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.83203125,0.88153076171875,0.8389513108614233,0.875,0.8057553956834532
5,9,dm,LogisticRegression,0.5066964285714286,0.5191961794483418,0.49715585893060293,0.4877232142857143,0.5069605568445475,0.52734375,0.54339599609375,0.5020576131687243,0.4765625,0.5304347826086957
5,9,dm,XGBoost,1.0,1.0,1.0,1.0,1.0,0.56640625,0.579345703125,0.5904059040590406,0.625,0.5594405594405595
5,9,pclarc,LogisticRegression,0.9017857142857143,0.9530104033801021,0.9022222222222223,0.90625,0.8982300884955752,0.75390625,0.8416748046875,0.7657992565055762,0.8046875,0.7304964539007093
5,9,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.83203125,0.88153076171875,0.8389513108614233,0.875,0.8057553956834532
