layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
20,2,dm,XGBoost,real,0.759493670886076,0.8279922238255573,0.7602523659305994,0.7824675324675324,0.7392638036809815,0.69140625,0.764404296875,0.704119850187266,0.734375,0.6762589928057554
20,2,lr,LogisticRegression,random_shuffle,0.5158227848101266,0.5229978354978355,0.501628664495114,0.5,0.5032679738562091,0.5234375,0.544677734375,0.5343511450381679,0.546875,0.5223880597014925
20,2,lr,LogisticRegression,random_unit_vector,0.4462025316455696,0.4420995670995671,0.4462025316455696,0.4577922077922078,0.4351851851851852,0.578125,0.62200927734375,0.5714285714285714,0.5625,0.5806451612903226
20,2,dm,LogisticRegression,random_shuffle,0.5174050632911392,0.5254529421196088,0.5008183306055647,0.4967532467532468,0.504950495049505,0.57421875,0.5657958984375,0.5917602996254682,0.6171875,0.5683453237410072
20,2,dm,LogisticRegression,random_unit_vector,0.504746835443038,0.4968133718133718,0.4893964110929853,0.487012987012987,0.4918032786885246,0.5234375,0.57318115234375,0.5413533834586466,0.5625,0.5217391304347826
20,3,lr,LogisticRegression,real,0.8721109399075501,0.9422970996600125,0.8744326777609682,0.8865030674846626,0.8626865671641791,0.83984375,0.95111083984375,0.8326530612244898,0.796875,0.8717948717948718
20,3,lr,XGBoost,real,0.8397534668721109,0.9160192976124903,0.844311377245509,0.8650306748466258,0.8245614035087719,0.84375,0.92388916015625,0.8449612403100775,0.8515625,0.8384615384615385
20,3,dm,LogisticRegression,real,0.49768875192604006,0.44058291705445496,0.0,0.0,0.0,0.5,0.468170166015625,0.0,0.0,0.0
20,3,dm,XGBoost,real,0.7719568567026194,0.85375790613307,0.7855072463768116,0.8312883435582822,0.7445054945054945,0.703125,0.77520751953125,0.7076923076923077,0.71875,0.696969696969697
20,3,lr,LogisticRegression,random_shuffle,0.47303543913713403,0.4470075405040932,0.48338368580060426,0.49079754601226994,0.47619047619047616,0.4296875,0.4267578125,0.4065040650406504,0.390625,0.423728813559322
20,3,lr,LogisticRegression,random_unit_vector,0.5285053929121726,0.5454519554027617,0.5127388535031847,0.4938650306748466,0.5331125827814569,0.61328125,0.60821533203125,0.623574144486692,0.640625,0.6074074074074074
20,3,dm,LogisticRegression,random_shuffle,0.4930662557781202,0.5214628957814963,0.4930662557781202,0.49079754601226994,0.4953560371517028,0.5078125,0.494140625,0.5039370078740157,0.5,0.5079365079365079
20,3,dm,LogisticRegression,random_unit_vector,0.5007704160246533,0.5087086174476249,0.5149700598802395,0.5276073619631901,0.5029239766081871,0.48828125,0.466552734375,0.5093632958801498,0.53125,0.4892086330935252
20,4,lr,LogisticRegression,real,0.8543247344461306,0.9359542266519012,0.8518518518518519,0.8761904761904762,0.8288288288288288,0.8125,0.93109130859375,0.7948717948717948,0.7265625,0.8773584905660378
