target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
goatee,0.7079598967036306,0.7754823029014127,single,eyeglasses,diff_means,2,0.6863132310496735,0.02164666565395712,,
gray_hair,0.8084848484848486,0.8857142857142857,single,eyeglasses,diff_means,2,0.8106493506493506,-0.0021645021645020357,,
heavy_makeup,0.5371681415929204,0.5448377581120945,single,eyeglasses,diff_means,2,0.5327433628318584,0.004424778761061954,,
high_cheekbones,0.4813122660067263,0.37826004188082996,single,eyeglasses,diff_means,2,0.47804429215051714,0.0032679738562091387,,
male,0.9733727810650887,0.9664694280078895,single,eyeglasses,diff_means,2,0.9733727810650887,0.0,,
mouth_slightly_open,0.5410098522167488,0.5599753694581281,single,eyeglasses,diff_means,2,0.5359605911330049,0.005049261083743928,,
mustache,0.7235634958957026,0.8341380975374215,single,eyeglasses,diff_means,2,0.7235634958957026,0.0,,
narrow_eyes,0.5625,0.5357862903225806,single,eyeglasses,diff_means,2,0.5625,0.0,,
no_beard,0.5822666367243057,0.5443521221648328,single,eyeglasses,diff_means,2,0.5822666367243057,0.0,,
oval_face,0.48116504854368936,0.4263106796116505,single,eyeglasses,diff_means,2,0.48116504854368936,0.0,,
pale_skin,0.5313969571230982,0.6810511756569848,single,eyeglasses,diff_means,2,0.5313969571230982,0.0,,
pointy_nose,0.4503949447077409,0.5142706687730385,single,eyeglasses,diff_means,2,0.4527646129541864,-0.002369668246445522,,
receding_hairline,0.5285067873303168,0.5741435035552682,single,eyeglasses,diff_means,2,0.540530058177117,-0.012023270846800216,,
rosy_cheeks,0.6085365853658536,0.708130081300813,single,eyeglasses,diff_means,2,0.6085365853658536,0.0,,
sideburns,0.6825602968460112,0.7844155844155843,single,eyeglasses,diff_means,2,0.6846011131725418,-0.0020408163265306367,,
smiling,0.8533823079277625,0.954759718396082,single,eyeglasses,diff_means,2,0.8533823079277625,0.0,,
straight_hair,0.6116514690982776,0.6068895643363729,single,eyeglasses,diff_means,2,0.6095238095238096,0.0021276595744680327,,
wavy_hair,0.5412589262099974,0.5845014546416292,single,eyeglasses,diff_means,2,0.5412589262099974,0.0,,
wearing_earrings,0.6710977701543739,0.7220197255574614,single,eyeglasses,diff_means,2,0.6824614065180103,-0.011363636363636465,,
wearing_hat,0.9046066041581737,0.931648321782851,single,eyeglasses,diff_means,2,0.9046066041581737,0.0,,
wearing_lipstick,0.43489583333333337,0.388427734375,single,eyeglasses,diff_means,2,0.421875,0.01302083333333337,,
wearing_necklace,0.5255539382176937,0.5267669416141032,single,eyeglasses,diff_means,2,0.5299207504447678,-0.004366812227074135,,
wearing_necktie,0.5631247686042207,0.6239664321856103,single,eyeglasses,diff_means,2,0.5631247686042207,0.0,,
young,0.7987665741597287,0.8884983040394696,single,eyeglasses,diff_means,2,0.8066604995374653,-0.007893925377736588,,
5_o_clock_shadow,0.5129310344827587,0.5702227011494253,single,eyeglasses,diff_means,3,0.5193965517241379,-0.006465517241379226,,
arched_eyebrows,0.554472409311119,0.597424081295049,single,eyeglasses,diff_means,3,0.5626846272007562,-0.008212217889637219,,
attractive,0.5037742504409171,0.5724867724867725,single,eyeglasses,diff_means,3,0.5037742504409171,0.0,,
bags_under_eyes,0.4904657132379905,0.42895122845617895,single,eyeglasses,diff_means,3,0.49972497249724973,-0.009259259259259245,,
bald,0.8014825442372071,0.8847441415590627,single,eyeglasses,diff_means,3,0.7916786226685797,0.009803921568627416,,
bangs,0.7889632107023412,0.875752508361204,single,eyeglasses,diff_means,3,0.7911371237458193,-0.0021739130434781373,,
big_lips,0.49097900029577046,0.47658483683328406,single,eyeglasses,diff_means,3,0.49339445923296854,-0.0024154589371980784,,
big_nose,0.6038961038961039,0.6024318818436466,single,eyeglasses,diff_means,3,0.6038961038961039,0.0,,
black_hair,0.7647941680960548,0.8747855917667239,single,eyeglasses,diff_means,3,0.7624356775300172,0.002358490566037652,,
blond_hair,0.8239108409321175,0.9173252279635258,single,eyeglasses,diff_means,3,0.8239108409321175,0.0,,
blurry,0.6905737704918034,0.7558060109289617,single,eyeglasses,diff_means,3,0.6905737704918034,0.0,,
brown_hair,0.6776735969561082,0.8187253702948771,single,eyeglasses,diff_means,3,0.6731892920233727,0.004484304932735439,,
bushy_eyebrows,0.5666666666666667,0.6067532467532467,single,eyeglasses,diff_means,3,0.5666666666666667,0.0,,
chubby,0.5684389140271493,0.6796757164404222,single,eyeglasses,diff_means,3,0.5684389140271493,0.0,,
double_chin,0.5791995787256451,0.6622432859399684,single,eyeglasses,diff_means,3,0.5791995787256451,0.0,,
eyeglasses,0.890625,0.95635986328125,single,eyeglasses,diff_means,3,0.890625,0.0,,
goatee,0.6885158742214795,0.772140361537293,single,eyeglasses,diff_means,3,0.6863132310496735,0.0022026431718060735,,
gray_hair,0.8084848484848486,0.8851948051948052,single,eyeglasses,diff_means,3,0.8106493506493506,-0.0021645021645020357,,
heavy_makeup,0.5327433628318584,0.5477876106194691,single,eyeglasses,diff_means,3,0.5327433628318584,0.0,,
