layer,concept,label,n,pca_k,pca_var_explained,frac_normal_marg,mean_skew,mean_kurt,mean_abs_skew,mean_abs_kurt,frac_normal_pca,mean_skew_pca,mean_kurt_pca
13,male,neg,257,139,0.9504472017288208,0.8583984375,0.0013510584831237793,0.06199042126536369,0.16505979001522064,0.2832495868206024,0.8345323741007195,0.011414680629968643,0.18605288863182068
14,male,pos,458,194,0.9504902958869934,0.7568359375,0.0035130688920617104,0.0885428935289383,0.15510082244873047,0.2328229695558548,0.7989690721649485,0.0016767450142651796,0.2170107662677765
14,male,neg,257,136,0.9508418440818787,0.8095703125,0.016268290579319,0.09568733721971512,0.17800334095954895,0.32027667760849,0.7720588235294118,0.0011757547035813332,0.23589105904102325
15,male,pos,458,202,0.950286328792572,0.7919921875,0.004693085327744484,0.07216493785381317,0.14156463742256165,0.22047457098960876,0.7673267326732673,0.004426400177180767,0.2584676146507263
15,male,neg,257,141,0.9508400559425354,0.82421875,0.009057821705937386,0.10415366291999817,0.1726125180721283,0.30330824851989746,0.8085106382978723,-0.018254339694976807,0.2171994000673294
16,male,pos,458,212,0.9500682353973389,0.7822265625,-0.0015131349209696054,0.11246484518051147,0.1506013721227646,0.23074576258659363,0.7547169811320755,-0.0018550700042396784,0.2662166655063629
16,male,neg,257,145,0.9505113959312439,0.814453125,0.0022431565448641777,0.13076475262641907,0.18543466925621033,0.3094092011451721,0.7793103448275862,0.018167581409215927,0.3367561101913452
17,male,pos,458,217,0.9500811100006104,0.787109375,-0.001124369096942246,0.09152378886938095,0.14596077799797058,0.22917073965072632,0.7972350230414746,0.0006492099491879344,0.24932247400283813
17,male,neg,257,146,0.9500041007995605,0.8212890625,0.003798962803557515,0.10019199550151825,0.17938189208507538,0.3010532259941101,0.821917808219178,0.012869487516582012,0.29067960381507874
18,male,pos,458,224,0.9502944350242615,0.734375,0.004411657806485891,0.13103137910366058,0.15791809558868408,0.25358837842941284,0.7098214285714286,-0.0008411354501731694,0.3213407099246979
18,male,neg,257,150,0.9505887627601624,0.771484375,0.011799754574894905,0.13592727482318878,0.19892024993896484,0.30887001752853394,0.78,0.005991697311401367,0.3218410611152649
19,male,pos,458,229,0.9501222372055054,0.72265625,0.004790735896676779,0.12107902765274048,0.1649569272994995,0.2556281089782715,0.7030567685589519,0.005295925308018923,0.35111960768699646
19,male,neg,257,151,0.9501352906227112,0.76953125,-0.0033675646409392357,0.1361500471830368,0.20594733953475952,0.3281390368938446,0.7549668874172185,0.03786398097872734,0.48144954442977905
20,male,pos,458,239,0.950282096862793,0.6962890625,0.0005282339407131076,0.1786210834980011,0.1714867800474167,0.30239057540893555,0.6192468619246861,-0.005878555588424206,0.47322115302085876
20,male,neg,257,155,0.950223982334137,0.70703125,-0.0015068035572767258,0.26135891675949097,0.23137694597244263,0.40350013971328735,0.6516129032258065,-0.01720428839325905,0.5853334069252014
21,male,pos,458,238,0.9501170516014099,0.6337890625,-0.003210411872714758,0.2116832137107849,0.186336487531662,0.34532177448272705,0.5588235294117647,0.009291918948292732,0.5609331130981445
21,male,neg,257,154,0.950486958026886,0.6171875,-0.008398097939789295,0.37413641810417175,0.2764354348182678,0.5046461820602417,0.5714285714285714,-6.951875548111275e-06,0.841071367263794
22,male,pos,458,233,0.9501902461051941,0.6806640625,0.012769358232617378,0.16683350503444672,0.16999094188213348,0.30635693669319153,0.5493562231759657,0.004002015572041273,0.6215403079986572
22,male,neg,257,152,0.9504207968711853,0.69921875,0.005628014914691448,0.26436471939086914,0.2339732050895691,0.4171377420425415,0.5460526315789473,-0.011041350662708282,0.8906093239784241
23,male,pos,458,205,0.9501063823699951,0.7333984375,0.0049879648722708225,-0.019787082448601723,0.15206822752952576,0.24195146560668945,0.5024390243902439,0.013671863824129105,0.6381587982177734
23,male,neg,257,140,0.9504863023757935,0.767578125,0.012864273972809315,0.020173897966742516,0.19468815624713898,0.3036354184150696,0.5857142857142857,-0.046123456209897995,0.6969093084335327
