target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
blurry,0.6612021857923497,0.6362704918032787,single,chubby,diff_means,4,0.6174863387978142,0.04371584699453546,,
brown_hair,0.6617647058823529,0.8179271708683473,single,chubby,diff_means,4,0.6596638655462185,0.0021008403361344463,,
bushy_eyebrows,0.5298092209856916,0.5098039215686274,single,chubby,diff_means,4,0.5298092209856916,0.0,,
chubby,0.66015625,0.76898193359375,single,chubby,diff_means,4,0.65625,0.00390625,,
double_chin,0.6035628019323671,0.7032759661835749,single,chubby,diff_means,4,0.6105072463768115,-0.00694444444444442,,
eyeglasses,0.8961312797946461,0.9597543087642099,single,chubby,diff_means,4,0.8911807847451412,0.004950495049504955,,
goatee,0.61489898989899,0.7459595959595959,single,chubby,diff_means,4,0.6265151515151515,-0.011616161616161524,,
gray_hair,0.7782795698924732,0.8953405017921148,single,chubby,diff_means,4,0.7805017921146953,-0.0022222222222221255,,
heavy_makeup,0.5444896951746266,0.6121189682833518,single,chubby,diff_means,4,0.5444896951746266,0.0,,
high_cheekbones,0.4745073891625616,0.40043103448275863,single,chubby,diff_means,4,0.4745073891625616,0.0,,
male,0.981283422459893,0.9774471053243431,single,chubby,diff_means,4,0.981283422459893,0.0,,
mouth_slightly_open,0.5066870229007634,0.4737099236641222,single,chubby,diff_means,4,0.4988702290076336,0.007816793893129781,,
mustache,0.735696463907769,0.8318850554934183,single,chubby,diff_means,4,0.735696463907769,0.0,,
narrow_eyes,0.6068176771041528,0.6171441261381302,single,chubby,diff_means,4,0.608927381745503,-0.002109704641350185,,
no_beard,0.5425915202985266,0.5688734478543396,single,chubby,diff_means,4,0.5362220935469343,0.006369426751592355,,
oval_face,0.507145859604876,0.4913829340058848,single,chubby,diff_means,4,0.5045817570407735,0.002564102564102555,,
pale_skin,0.6195121951219512,0.8,single,chubby,diff_means,4,0.6195121951219512,0.0,,
pointy_nose,0.5224747474747475,0.49457070707070705,single,chubby,diff_means,4,0.5202020202020202,0.002272727272727315,,
receding_hairline,0.4884405212274065,0.5388818831441783,single,chubby,diff_means,4,0.49663724253888186,-0.008196721311475363,,
rosy_cheeks,0.658752769863881,0.7587844254510921,single,chubby,diff_means,4,0.6566951566951567,0.002057613168724326,,
sideburns,0.5626249167221852,0.6135909393737509,single,chubby,diff_means,4,0.5889407061958695,-0.026315789473684292,,
smiling,0.8338827838827838,0.9394993894993895,single,chubby,diff_means,4,0.83003663003663,0.0038461538461538325,,
straight_hair,0.4561157796451914,0.484360410830999,single,chubby,diff_means,4,0.4561157796451914,0.0,,
wavy_hair,0.6076329331046312,0.5855488850771868,single,chubby,diff_means,4,0.6076329331046312,0.0,,
wearing_earrings,0.6953798889282761,0.7732482571192248,single,chubby,diff_means,4,0.7058962542833511,-0.010516365355075052,,
wearing_hat,0.8706687730384413,0.9152185360716165,single,chubby,diff_means,4,0.8706687730384413,0.0,,
wearing_lipstick,0.45834464043419265,0.45563093622795114,single,chubby,diff_means,4,0.45585707824513794,0.002487562189054715,,
wearing_necklace,0.5563323201621074,0.6569402228976697,single,chubby,diff_means,4,0.6082066869300912,-0.05187436676798374,,
wearing_necktie,0.6250556297285269,0.6466399643969738,single,chubby,diff_means,4,0.6297285269247885,-0.004672897196261627,,
young,0.8526392961876833,0.9236925708699902,single,chubby,diff_means,4,0.8528836754643205,-0.0002443792766372299,,
5_o_clock_shadow,0.5323232323232323,0.5617424242424243,single,chubby,diff_means,5,0.543939393939394,-0.011616161616161635,,
arched_eyebrows,0.5763514201364146,0.5980861244019139,single,chubby,diff_means,5,0.5739590756388069,0.0023923444976077235,,
attractive,0.5056326187473729,0.5460277427490543,single,chubby,diff_means,5,0.5056326187473729,0.0,,
bags_under_eyes,0.49204545454545456,0.4350852272727273,single,chubby,diff_means,5,0.49261363636363636,-0.000568181818181801,,
bald,0.6784587193321796,0.7891682785299806,single,chubby,diff_means,5,0.6784587193321796,0.0,,
bangs,0.7777504307162195,0.881368446960374,single,chubby,diff_means,5,0.7819345311346295,-0.004184100418409997,,
big_lips,0.4961337092227145,0.4877164720096657,single,chubby,diff_means,5,0.5038260169150222,-0.007692307692307665,,
big_nose,0.6022167487684729,0.6514778325123153,single,chubby,diff_means,5,0.5979064039408867,0.004310344827586188,,
black_hair,0.7421875,0.8744303385416666,single,chubby,diff_means,5,0.7421875,0.0,,
blond_hair,0.8889982771351218,0.9360078759537288,single,chubby,diff_means,5,0.8910903273443269,-0.0020920502092051096,,
blurry,0.6530054644808744,0.6325136612021858,single,chubby,diff_means,5,0.6174863387978142,0.03551912568306015,,
brown_hair,0.6638655462184874,0.8186274509803921,single,chubby,diff_means,5,0.6596638655462185,0.004201680672268893,,
bushy_eyebrows,0.5275569687334394,0.5131160572337043,single,chubby,diff_means,5,0.5298092209856916,-0.0022522522522522292,,
chubby,0.66015625,0.76788330078125,single,chubby,diff_means,5,0.65625,0.00390625,,
double_chin,0.6117149758454106,0.7042572463768116,single,chubby,diff_means,5,0.6105072463768115,0.0012077294685990392,,
eyeglasses,0.8986065273193986,0.9592959295929593,single,chubby,diff_means,5,0.8911807847451412,0.007425742574257432,,
goatee,0.6171717171717171,0.7420454545454545,single,chubby,diff_means,5,0.6265151515151515,-0.00934343434343432,,
gray_hair,0.7827240143369176,0.8966308243727599,single,chubby,diff_means,5,0.7805017921146953,0.0022222222222223476,,
heavy_makeup,0.5399234851289646,0.6119955572010367,single,chubby,diff_means,5,0.5444896951746266,-0.004566210045662045,,
high_cheekbones,0.4745073891625616,0.40209359605911327,single,chubby,diff_means,5,0.4745073891625616,0.0,,
