target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
bangs,0.7788247213779129,0.8474164133738601,single,wearing_hat,diff_means,0,0.780952380952381,-0.0021276595744680327,,
big_lips,0.4759967780910189,0.4814337494965768,single,wearing_hat,diff_means,0,0.4759967780910189,0.0,,
big_nose,0.6035141329258976,0.6738604532722179,single,wearing_hat,diff_means,0,0.6067608861726509,-0.0032467532467532756,,
black_hair,0.7165523156089193,0.8406946826758147,single,wearing_hat,diff_means,0,0.7118353344768439,0.004716981132075415,,
blond_hair,0.8527583527583528,0.9281274281274281,single,wearing_hat,diff_means,0,0.8527583527583528,0.0,,
blurry,0.5880025324469769,0.6112693890471669,single,wearing_hat,diff_means,0,0.581829692940804,0.006172839506172867,,
brown_hair,0.6441053408811224,0.8139305931577653,single,wearing_hat,diff_means,0,0.6441053408811224,0.0,,
bushy_eyebrows,0.5089970501474926,0.5182890855457227,single,wearing_hat,diff_means,0,0.5256637168141592,-0.016666666666666607,,
chubby,0.6801029159519726,0.7503216123499142,single,wearing_hat,diff_means,0,0.6801029159519726,0.0,,
double_chin,0.6389380530973452,0.743952802359882,single,wearing_hat,diff_means,0,0.6389380530973452,0.0,,
eyeglasses,0.8715494005019053,0.9518542615484711,single,wearing_hat,diff_means,0,0.8670415466121386,0.004507853889766711,,
goatee,0.6386146133981467,0.682819383259912,single,wearing_hat,diff_means,0,0.6323864499468328,0.0062281634513139394,,
gray_hair,0.8884297520661157,0.9654663518299882,single,wearing_hat,diff_means,0,0.8884297520661157,0.0,,
heavy_makeup,0.5770186335403726,0.6082815734989648,single,wearing_hat,diff_means,0,0.5651138716356108,0.011904761904761862,,
high_cheekbones,0.5168650793650793,0.4782366071428572,single,wearing_hat,diff_means,0,0.5223214285714286,-0.005456349206349298,,
male,0.9778481012658228,0.9779772668561096,single,wearing_hat,diff_means,0,0.9778481012658228,0.0,,
mouth_slightly_open,0.5481199779181746,0.5654787462430229,single,wearing_hat,diff_means,0,0.5481199779181746,0.0,,
mustache,0.7448610213316096,0.8094376212023271,single,wearing_hat,diff_means,0,0.7328377504848094,0.012023270846800216,,
narrow_eyes,0.6330241187384045,0.6333951762523191,single,wearing_hat,diff_means,0,0.6289424860853432,0.004081632653061273,,
no_beard,0.5490595723378388,0.5019666738182078,single,wearing_hat,diff_means,0,0.5490595723378388,0.0,,
oval_face,0.4896611768120148,0.4637597039831677,single,wearing_hat,diff_means,0,0.4896611768120148,0.0,,
pale_skin,0.6312124089901867,0.7679645457423236,single,wearing_hat,diff_means,0,0.6291547958214625,0.002057613168724215,,
pointy_nose,0.5017152658662093,0.5012864493996569,single,wearing_hat,diff_means,0,0.4879931389365352,0.013722126929674117,,
receding_hairline,0.5318156372457548,0.5766001119611868,single,wearing_hat,diff_means,0,0.5275237917521927,0.0042918454935620964,,
rosy_cheeks,0.602125147579693,0.7526564344746163,single,wearing_hat,diff_means,0,0.6000590318772137,0.0020661157024793875,,
sideburns,0.6391465677179963,0.7543599257884972,single,wearing_hat,diff_means,0,0.6473098330241187,-0.008163265306122436,,
smiling,0.863709032773781,0.9393715796593495,single,wearing_hat,diff_means,0,0.863709032773781,0.0,,
straight_hair,0.661991341991342,0.6611255411255411,single,wearing_hat,diff_means,0,0.661991341991342,0.0,,
wavy_hair,0.5764821487061906,0.6140408341522,single,wearing_hat,diff_means,0,0.574134730865815,0.0023474178403756207,,
wearing_earrings,0.6483401209428606,0.7307170183882512,single,wearing_hat,diff_means,0,0.6529063309885228,-0.004566210045662156,,
wearing_hat,0.875,0.93756103515625,single,wearing_hat,diff_means,0,0.875,0.0,,
wearing_lipstick,0.48028785982478095,0.48341677096370467,single,wearing_hat,diff_means,0,0.49092615769712145,-0.010638297872340496,,
wearing_necklace,0.5722408026755853,0.7010033444816054,single,wearing_hat,diff_means,0,0.5979933110367892,-0.025752508361203907,,
wearing_necktie,0.5571840994892294,0.6198090162114146,single,wearing_hat,diff_means,0,0.5761714412613813,-0.01898734177215189,,
young,0.8176058931860037,0.8861141804788213,single,wearing_hat,diff_means,0,0.8176058931860037,0.0,,
5_o_clock_shadow,0.5914149443561209,0.6605723370429253,single,wearing_hat,diff_means,1,0.5936671966083731,-0.0022522522522522292,,
arched_eyebrows,0.530448717948718,0.5424679487179487,single,wearing_hat,diff_means,1,0.5336538461538461,-0.0032051282051281937,,
attractive,0.5018657916747089,0.6115293057968217,single,wearing_hat,diff_means,1,0.49868107829891267,0.003184713375796233,,
bags_under_eyes,0.5078982374459594,0.48441137346192215,single,wearing_hat,diff_means,1,0.5104755570335883,-0.002577319587628857,,
bald,0.743421052631579,0.799342105263158,single,wearing_hat,diff_means,1,0.743421052631579,0.0,,
bangs,0.7745694022289766,0.8480243161094224,single,wearing_hat,diff_means,1,0.780952380952381,-0.00638297872340432,,
big_lips,0.47076117599677814,0.48215867901731785,single,wearing_hat,diff_means,1,0.4759967780910189,-0.005235602094240788,,
big_nose,0.6067608861726509,0.6740514387573211,single,wearing_hat,diff_means,1,0.6067608861726509,0.0,,
black_hair,0.725557461406518,0.8417667238421955,single,wearing_hat,diff_means,1,0.7118353344768439,0.013722126929674117,,
