layer_id,k_steps,run_id,model,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc
7,10,1,XGBoost,1.0,1.0,1.0,0.578125,0.5939849624060151,0.63262939453125
7,10,2,XGBoost,1.0,1.0,1.0,0.55859375,0.5830258302583026,0.60687255859375
7,10,3,XGBoost,1.0,1.0,1.0,0.6171875,0.6423357664233577,0.63885498046875
7,10,4,XGBoost,1.0,1.0,1.0,0.61328125,0.64,0.6396484375
7,11,0,XGBoost,1.0,1.0,1.0,0.62109375,0.6367041198501873,0.653076171875
7,11,1,XGBoost,1.0,1.0,1.0,0.59765625,0.6308243727598566,0.6536865234375
7,11,2,XGBoost,1.0,1.0,1.0,0.5859375,0.6074074074074074,0.63287353515625
7,11,3,XGBoost,1.0,1.0,1.0,0.62109375,0.6311787072243346,0.638671875
7,11,4,XGBoost,1.0,1.0,1.0,0.578125,0.5970149253731343,0.593505859375
7,12,0,XGBoost,1.0,1.0,1.0,0.58203125,0.6137184115523465,0.63934326171875
7,12,1,XGBoost,1.0,1.0,1.0,0.6015625,0.625,0.62701416015625
7,12,2,XGBoost,1.0,1.0,1.0,0.609375,0.6183206106870229,0.64349365234375
7,12,3,XGBoost,1.0,1.0,1.0,0.60546875,0.6070038910505836,0.65728759765625
7,12,4,XGBoost,1.0,1.0,1.0,0.59375,0.6060606060606061,0.62548828125
7,13,0,XGBoost,1.0,1.0,1.0,0.6015625,0.6330935251798561,0.665771484375
7,13,1,XGBoost,1.0,1.0,1.0,0.6171875,0.6287878787878788,0.64300537109375
7,13,2,XGBoost,1.0,1.0,1.0,0.57421875,0.5977859778597786,0.62359619140625
7,13,3,XGBoost,1.0,1.0,1.0,0.58203125,0.6192170818505338,0.6241455078125
7,13,4,XGBoost,1.0,1.0,1.0,0.578125,0.6,0.63641357421875
7,14,0,XGBoost,1.0,1.0,1.0,0.62890625,0.652014652014652,0.6649169921875
7,14,1,XGBoost,1.0,1.0,1.0,0.5546875,0.5746268656716418,0.62652587890625
7,14,2,XGBoost,1.0,1.0,1.0,0.6015625,0.6194029850746269,0.63922119140625
7,14,3,XGBoost,1.0,1.0,1.0,0.6171875,0.6287878787878788,0.6629638671875
7,14,4,XGBoost,1.0,1.0,1.0,0.578125,0.6086956521739131,0.6368408203125
7,15,0,XGBoost,1.0,1.0,1.0,0.65234375,0.6563706563706564,0.7080078125
7,15,1,XGBoost,1.0,1.0,1.0,0.5859375,0.6044776119402985,0.6446533203125
7,15,2,XGBoost,1.0,1.0,1.0,0.59375,0.6060606060606061,0.6524658203125
7,15,3,XGBoost,1.0,1.0,1.0,0.58984375,0.6153846153846154,0.63323974609375
7,15,4,XGBoost,1.0,1.0,1.0,0.6015625,0.6304347826086957,0.635498046875
7,16,0,XGBoost,1.0,1.0,1.0,0.578125,0.5970149253731343,0.6336669921875
7,16,1,XGBoost,1.0,1.0,1.0,0.5859375,0.6015037593984962,0.64794921875
7,16,2,XGBoost,1.0,1.0,1.0,0.5390625,0.5755395683453237,0.602783203125
7,16,3,XGBoost,1.0,1.0,1.0,0.55078125,0.5756457564575646,0.60333251953125
7,16,4,XGBoost,1.0,1.0,1.0,0.57421875,0.6036363636363636,0.64056396484375
