regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,wearing_hat,diff_means,22,neg,0.035667798445325305,0.16040915250778198,0.22235310077667236,0.2936035394668579,0.4192917048931122,0.06194394826889038,0.12568816542625427
single,wearing_hat,diff_means,23,pos,0.0,0.21346145868301392,0.20945028960704803,0.37304484844207764,0.3781835436820984,-0.004011169075965881,0.005138695240020752
single,wearing_hat,diff_means,23,neg,0.008898865435421621,0.14847621321678162,0.20701828598976135,0.2297634482383728,0.3615717887878418,0.058542072772979736,0.131808340549469
single,wearing_hat,lr,0,pos,0.0,0.30248430371284485,0.3182761073112488,0.7426488995552063,0.7922323942184448,0.01579180359840393,0.049583494663238525
single,wearing_hat,lr,0,neg,0.006258283666516595,0.27969834208488464,0.2628493309020996,0.7536589503288269,0.6287665367126465,-0.016849011182785034,-0.12489241361618042
single,wearing_hat,lr,1,pos,0.30245107147967154,0.3069118857383728,0.3158578872680664,0.5670122504234314,0.5821489095687866,0.008946001529693604,0.015136659145355225
single,wearing_hat,lr,1,neg,0.39833624615540464,0.2119470089673996,0.25084665417671204,0.40560081601142883,0.4780634045600891,0.03889964520931244,0.07246258854866028
single,wearing_hat,lr,2,pos,0.43845987308844103,0.295598566532135,0.2996639609336853,0.49313414096832275,0.5141318440437317,0.004065394401550293,0.020997703075408936
single,wearing_hat,lr,2,neg,0.5428583427417502,0.2067502737045288,0.24875305593013763,0.31940776109695435,0.4411267936229706,0.042002782225608826,0.12171903252601624
single,wearing_hat,lr,3,pos,0.3749789453922161,0.2565575838088989,0.26218700408935547,0.44292616844177246,0.4624294638633728,0.005629420280456543,0.019503295421600342
single,wearing_hat,lr,3,neg,0.45883704903012257,0.17313608527183533,0.22860503196716309,0.2686440050601959,0.4057188332080841,0.05546894669532776,0.13707482814788818
single,wearing_hat,lr,4,pos,0.07411832733159662,0.22294855117797852,0.22596892714500427,0.3721476197242737,0.3786875009536743,0.003020375967025757,0.006539881229400635
single,wearing_hat,lr,4,neg,0.13529282323392655,0.15399369597434998,0.21735839545726776,0.24131180346012115,0.37020617723464966,0.06336469948291779,0.1288943737745285
single,wearing_hat,lr,5,pos,0.013791970792717656,0.21338793635368347,0.21687442064285278,0.36448484659194946,0.3678138852119446,0.0034864842891693115,0.003329038619995117
single,wearing_hat,lr,5,neg,0.052030580255480796,0.18833568692207336,0.23065398633480072,0.27537667751312256,0.37952303886413574,0.042318299412727356,0.10414636135101318
single,wearing_hat,lr,6,pos,0.08936492445190547,0.2127087116241455,0.214280903339386,0.36417922377586365,0.3677883446216583,0.0015721917152404785,0.0036091208457946777
single,wearing_hat,lr,6,neg,0.1495692489769629,0.1883741021156311,0.2265736311674118,0.2991742491722107,0.3749110698699951,0.0381995290517807,0.07573682069778442
single,wearing_hat,lr,7,pos,0.07029284395080149,0.22183553874492645,0.2231951504945755,0.41471248865127563,0.41376763582229614,0.0013596117496490479,-0.0009448528289794922
single,wearing_hat,lr,7,neg,0.12718402406000595,0.20690514147281647,0.24290835857391357,0.3400201201438904,0.40757468342781067,0.03600321710109711,0.06755456328392029
single,wearing_hat,lr,8,pos,0.022705399602059195,0.21997496485710144,0.22014416754245758,0.41135260462760925,0.4130863547325134,0.00016920268535614014,0.0017337501049041748
single,wearing_hat,lr,8,neg,0.05738863815740736,0.19239957630634308,0.24170812964439392,0.31533998250961304,0.407044917345047,0.04930855333805084,0.09170493483543396
single,wearing_hat,lr,9,pos,0.009695247496941839,0.2022794485092163,0.20239758491516113,0.3630255460739136,0.36227738857269287,0.00011813640594482422,-0.0007481575012207031
single,wearing_hat,lr,9,neg,0.03754018319680785,0.15608355402946472,0.21233797073364258,0.2617502808570862,0.3812968134880066,0.056254416704177856,0.11954653263092041
single,wearing_hat,lr,10,pos,0.0,0.2054060995578766,0.20555277168750763,0.3710189163684845,0.37196171283721924,0.00014667212963104248,0.0009427964687347412
single,wearing_hat,lr,10,neg,0.009242609849368977,0.15579818189144135,0.21758776903152466,0.2609385848045349,0.404975950717926,0.06178958714008331,0.1440373659133911
single,wearing_hat,lr,11,pos,0.0,0.19698330760002136,0.1968849152326584,0.3508298099040985,0.35029226541519165,-9.839236736297607e-05,-0.0005375444889068604
single,wearing_hat,lr,11,neg,0.0,0.15197281539440155,0.21508383750915527,0.24348004162311554,0.35299909114837646,0.06311102211475372,0.10951904952526093
single,wearing_hat,lr,12,pos,0.0,0.18790194392204285,0.18801197409629822,0.34044766426086426,0.3427520990371704,0.0001100301742553711,0.0023044347763061523
single,wearing_hat,lr,12,neg,0.0,0.12678077816963196,0.19280998408794403,0.2002599835395813,0.3336915969848633,0.06602920591831207,0.13343161344528198
single,wearing_hat,lr,13,pos,0.0,0.1905914694070816,0.19093887507915497,0.34506821632385254,0.3464674651622772,0.00034740567207336426,0.0013992488384246826
single,wearing_hat,lr,13,neg,0.0,0.13349312543869019,0.19627618789672852,0.21168029308319092,0.34962522983551025,0.06278306245803833,0.13794493675231934
single,wearing_hat,lr,14,pos,0.0,0.1953650414943695,0.19675077497959137,0.35811787843704224,0.3588583767414093,0.0013857334852218628,0.0007404983043670654
single,wearing_hat,lr,14,neg,0.0,0.14781337976455688,0.20954415202140808,0.23082366585731506,0.35183295607566833,0.061730772256851196,0.12100929021835327
single,wearing_hat,lr,15,pos,0.0,0.19455820322036743,0.19428925216197968,0.3482697606086731,0.34805893898010254,-0.00026895105838775635,-0.00021082162857055664
single,wearing_hat,lr,15,neg,0.0,0.13695169985294342,0.20141275227069855,0.2076111137866974,0.364594042301178,0.06446105241775513,0.1569829285144806
