layer_id,k_steps,run_id,model,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc
17,9,3,XGBoost,1.0,1.0,1.0,0.6484375,0.6785714285714286,0.65179443359375
17,9,4,XGBoost,1.0,1.0,1.0,0.65625,0.6716417910447762,0.6688232421875
17,10,0,XGBoost,1.0,1.0,1.0,0.57421875,0.6202090592334495,0.62176513671875
17,10,1,XGBoost,1.0,1.0,1.0,0.56640625,0.607773851590106,0.63092041015625
17,10,2,XGBoost,1.0,1.0,1.0,0.59765625,0.6142322097378277,0.66845703125
17,10,3,XGBoost,1.0,1.0,1.0,0.62890625,0.6689895470383276,0.66180419921875
17,10,4,XGBoost,1.0,1.0,1.0,0.625,0.6546762589928058,0.6474609375
17,11,0,XGBoost,1.0,1.0,1.0,0.66015625,0.6925795053003534,0.6822509765625
17,11,1,XGBoost,1.0,1.0,1.0,0.63671875,0.6759581881533101,0.69775390625
17,11,2,XGBoost,1.0,1.0,1.0,0.578125,0.6223776223776224,0.6168212890625
17,11,3,XGBoost,1.0,1.0,1.0,0.58984375,0.6391752577319587,0.6397705078125
17,11,4,XGBoost,1.0,1.0,1.0,0.5859375,0.6102941176470589,0.62347412109375
17,12,0,XGBoost,1.0,1.0,1.0,0.59765625,0.628158844765343,0.63494873046875
17,12,1,XGBoost,1.0,1.0,1.0,0.6328125,0.6642857142857143,0.65338134765625
17,12,2,XGBoost,1.0,1.0,1.0,0.66015625,0.6813186813186813,0.6942138671875
17,12,3,XGBoost,1.0,1.0,1.0,0.6171875,0.6524822695035462,0.67901611328125
17,12,4,XGBoost,1.0,1.0,1.0,0.62890625,0.652014652014652,0.66363525390625
17,13,0,XGBoost,1.0,1.0,1.0,0.56640625,0.6237288135593221,0.63720703125
17,13,1,XGBoost,1.0,1.0,1.0,0.5859375,0.6394557823129252,0.6112060546875
17,13,2,XGBoost,1.0,1.0,1.0,0.6328125,0.6666666666666666,0.67425537109375
17,13,3,XGBoost,1.0,1.0,1.0,0.5859375,0.6394557823129252,0.641845703125
17,13,4,XGBoost,1.0,1.0,1.0,0.6015625,0.6433566433566433,0.6173095703125
17,14,0,XGBoost,1.0,1.0,1.0,0.5703125,0.60431654676259,0.63262939453125
17,14,1,XGBoost,1.0,1.0,1.0,0.55859375,0.6089965397923875,0.622314453125
17,14,2,XGBoost,1.0,1.0,1.0,0.59375,0.6231884057971014,0.637939453125
17,14,3,XGBoost,1.0,1.0,1.0,0.56640625,0.5842696629213483,0.6314697265625
17,14,4,XGBoost,1.0,1.0,1.0,0.6484375,0.6808510638297872,0.6943359375
17,15,0,XGBoost,1.0,1.0,1.0,0.65234375,0.6763636363636364,0.68072509765625
17,15,1,XGBoost,1.0,1.0,1.0,0.5859375,0.624113475177305,0.63201904296875
17,15,2,XGBoost,1.0,1.0,1.0,0.5859375,0.6187050359712231,0.61944580078125
17,15,3,XGBoost,1.0,1.0,1.0,0.63671875,0.6713780918727915,0.6796875
17,15,4,XGBoost,1.0,1.0,1.0,0.6015625,0.6330935251798561,0.640625
17,16,0,XGBoost,1.0,1.0,1.0,0.5859375,0.624113475177305,0.64605712890625
17,16,1,XGBoost,1.0,1.0,1.0,0.59375,0.6363636363636364,0.63909912109375
17,16,2,XGBoost,1.0,1.0,1.0,0.65234375,0.6763636363636364,0.72021484375
17,16,3,XGBoost,1.0,1.0,1.0,0.5859375,0.6267605633802817,0.6162109375
17,16,4,XGBoost,1.0,1.0,1.0,0.6171875,0.6573426573426573,0.651123046875
